Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-30,Bridget Jones's Diary,2001,https://boxd.it/3h0Ks3,4,,,2020-04-06
2022-09-30,Spirited Away,2001,https://boxd.it/3h0Ksx,3.5,,,2020-04-06
2022-09-30,Arrival,2016,https://boxd.it/3h0Ktl,4,,,2020-04-06
2022-09-30,The Fault in Our Stars,2014,https://boxd.it/3h0Kut,3,,,2020-04-06
2022-09-30,Bridget Jones: The Edge of Reason,2004,https://boxd.it/3h0KAB,2.5,,,2020-04-06
2022-09-30,It Follows,2014,https://boxd.it/3h0KCx,1,,,2020-04-06
2022-09-30,Howl's Moving Castle,2004,https://boxd.it/3h0KFr,3,,,2020-04-06
2022-09-30,Mean Girls,2004,https://boxd.it/3h0KJj,2.5,,,2020-04-06
2022-09-30,Baby Driver,2017,https://boxd.it/3h0KLf,4,,,2020-04-06
2022-09-30,The Curious Case of Benjamin Button,2008,https://boxd.it/3h0KO9,2.5,,,2020-04-06
2022-09-30,Avatar,2009,https://boxd.it/3h0KXF,1,,,2020-04-06
2022-09-30,Your Name.,2016,https://boxd.it/3h0L0f,4,,,2020-04-06
2022-09-30,Monty Python and the Holy Grail,1975,https://boxd.it/3h0L8j,4,,,2020-04-06
2022-09-30,Suspiria,1977,https://boxd.it/3h0LaT,3,,,2020-04-06
2022-09-30,Jumanji: The Next Level,2019,https://boxd.it/3h0Lcl,2.5,,,2020-04-06
2022-09-30,The Girl Who Leapt Through Time,2006,https://boxd.it/3h0Ler,3,,,2020-04-06
2022-09-30,Back to the Future,1985,https://boxd.it/3h0LkJ,3,,,2020-04-06
2022-09-30,The Breakfast Club,1985,https://boxd.it/3h0LkT,3.5,,,2020-04-06
2022-09-30,The Witches of Eastwick,1987,https://boxd.it/3h0Lpp,3,,,2020-04-06
2022-09-30,My Neighbor Totoro,1988,https://boxd.it/3h0Lrv,4,,,2020-04-06
2022-09-30,Dead Poets Society,1989,https://boxd.it/3h0Ls9,3.5,,,2020-04-06
2022-09-30,17 Again,2009,https://boxd.it/3h0LsD,3,,,2020-04-06
2022-09-30,The Cable Guy,1996,https://boxd.it/3h0JPl,1,,,2020-04-08
2022-09-30,Why Him?,2016,https://boxd.it/3h0KRx,2,,,2020-04-08
2022-09-30,Men in Black: International,2019,https://boxd.it/3h0Kp9,2.5,,,2020-04-09
2022-09-30,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/3h0LaJ,5,,,2020-04-09
2022-09-30,Men in Black,1997,https://boxd.it/3h0JT3,4,,,2020-04-14
2022-09-30,In the Tall Grass,2019,https://boxd.it/3h0KUB,1,,,2020-04-14
2022-09-30,Call Me by Your Name,2017,https://boxd.it/3h0L2Z,3,,,2020-04-14
2022-09-30,The Thing,1982,https://boxd.it/3h0Lhv,4,,,2020-04-14
2022-09-30,1917,2019,https://boxd.it/3h0Li9,3,,,2020-04-14
2022-09-30,28 Days,2000,https://boxd.it/3h0KkN,3,,,2020-04-16
2022-09-30,Minions,2015,https://boxd.it/3h0KpN,0.5,,,2020-04-16
2022-09-30,Extremely Loud & Incredibly Close,2011,https://boxd.it/3h0KUV,0.5,,,2020-04-16
2022-09-30,Get Out,2017,https://boxd.it/3h0KY9,4,,,2020-04-16
2022-09-30,Thoroughbreds,2017,https://boxd.it/3h0L2l,3.5,,,2020-04-16
2022-09-30,The Blind Side,2009,https://boxd.it/3h0LjV,1.5,,,2020-04-16
2022-09-30,Mamma Mia! Here We Go Again,2018,https://boxd.it/3h0L6H,1.5,,,2020-04-20
